APU WA POWERLIFTING RECORDS - CLASSIC WOMEN - OPEN,,,,,As at,5October2022,,APU WA POWERLIFTING RECORDS - CLASSIC MEN - OPEN,,,,,As at,5October2022
Weight class,Name,Born,Body weight (Kgs),Result,Date,Location,,Weight class,Name,Born,Body weight (Kgs),Result,Date,Location
SQUAT,,,,,,,,SQUAT,,,,,,
-47kg,Jackie Caldona,1989,46.8,115,12/5/2021,Strength Club Showdown,,-59kg,Carney Tan,,,150,3/28/2021,2021 APU WA States
-52kg,Katherine Torre,,,110,11/8/2019,2019 Classic Nationals,,-66kg,APU WA Standard,,,140,,
-57kg,Kezia Duncan,,,122.5,7/28/2019,2019 APU WA State Championships,,-74kg,Leonardo Sucitra,,,255,11/9/2019,2019 Classic Nationals
-63kg,Amelie Labrie,,,155,9/20/2020,2020 APU WA States,,-83kg,Isheanesu Nyandoro,,,252.5,11/9/2019,2019 Classic Nationals
-69kg,Jazmin Reid,1999,68.4,142.5,05/01/2022,2022 WA State Championships,,-93kg,Adam Jones,1987,92.97,295,5/1/2022,2022 WA State Championships
-72kg,Katherine Valle,,,145,11/8/2019,2019 Classic Nationals,,-105kg,Steve Hill,,,250,11/10/2019,2019 Classic Nationals
-76kg,Kristy Ireland,1996,75.8,147.5,01/05/2022,2022 WA State Championships,,-120kg,Dale Manuel,,,242.5,11/10/2019,2019 Classic Nationals
-84kg,Kelly Stoikov,1971,81.3,152.5,11/21/2021,Legendary Lifting Open,,120+kg,Jackson Stubberfield,,,315,3/28/2021,2021 APU WA States
84+kg,Natalie Laalaai,1995,131.7,220,5/1/2022,WA State Championships,,BENCH PRESS,,,,,,
BENCH PRESS,,,,,,,,-59kg,APU WA Standard,,,92.5,,
-47kg,Jackie Caldona,1989,65,115,12/5/2021,Strength Club Showdown,,-66kg,APU WA Standard,,,102.5,,
-52kg,Thao Pham,,,62.5,3/28/2021,2021 APU WA States,,-74kg,Lewis Lusted,,,180.5,11/9/2019,2019 Classic Nationals
-57kg,Gabrielle Green,,,70,11/8/2019,2019 Classic Nationals,,-83kg,Isheanesu Nyandoro,,,162.5,11/9/2019,2019 Classic Nationals
-63kg,Karlena Nixon,,,90,9/20/2020,2020 APU WA States,,-93kg,Marcel Nejatian,,,155,11/9/2019,2019 Classic Nationals
-69kg,Chloe Liebeck,1989,66.1,75,01/05/2022,WA State Championships,,-105kg,Adam Bailey,,,172.5,11/10/2019,2019 Classic Nationals
-72kg,Katherine Valle,,,87.5,11/8/2019,2019 Classic Nationals,,-120kg,Russel Pink,1990,118.5,182.5,5/1/2022,WA State Championships
-76kg,Limin Nien,1992,75.6,75,01/05/2022,WA State Championships,,120+kg,Jackson Stubberfield,,,195,9/20/2020,2020 APU WA States
-84kg,Amanda Brown,,,87.5,10/26/2018,2018 Classic Nationals,,DEADLIFT,,,,,,
84+kg,Jessica Toms,1998,116.6,115,5/1/2022,WA State Championships,,-59kg,Carney Tan,,,190,3/28/2021,2021 APU WA States
DEADLIFT,,,,,,,,-66kg,APU WA Standard,,,155,,
-47kg,Jackie Caldona,,,127.5,3/28/2021,2021 APU WA States,,-74kg,Leonardo Sucitra,,,292.5,10/27/2018,2018 Classic Nationals
-52kg,Thao Pham,1983,50.4,142.5,5/1/2022,WA State Championships,,-83kg,Callan Gibbons,,,297.5,10/27/2018,2018 Classic Nationals
-57kg,Gabrielle Green,,,142.5,7/28/2019,2019 APU WA State Championships,,-93kg,Adam Jones,1987,92.97,317.5,5/1/2022,2022 WA State Championships
-63kg,Amelie Labrie,,,167.5,9/20/2020,2020 APU WA States,,-105kg,Steven Christensen,1984,101,300,44682,2022 WA State Championships
-69kg,Olivia Lannon,1980,67.7,157.5,11/20/2021,Legendary Lifting Open,,-120kg,Nathan Quarrell,1982,119.6,302.5,6/11/2022,2022 ACT State Championships
-72kg,Dion Stewart,,,155,10/26/2018,2018 Classic Nationals,,120+kg,Jackson Stubberfield,1995,141.3,305,3/28/2021,2021 WA State Championships
-76kg,Kristy Ireland,1996,75.8,162.5,01/05/2022,2022 WA State Championships,,TOTAL,,,,,,
-84kg,Kelly Stoikov,1971,81.3,170,11/21/2021,Legendary Lifting Open,,-59kg,Carney Tan,,,430,3/28/2021,2021 APU WA States
84+kg,Natalie Laalaai,1995,131.7,250,5/1/2022,WA State Championships,,-66kg,APU WA Standard,,,355,,
TOTAL,,,,,,,,-74kg,Leonardo Sucitra,,,690,10/27/2018,2018 Classic Nationals
-47kg,Jackie Caldona,1989,46.8,302.5,12/5/2021,Strength Club Showdown,,-83kg,Isheanesu Nyandoro,,,705,11/9/2019,2019 Classic Nationals
-52kg,Thao Pham,1983,50.4,305,5/1/2022,WA State Championships,,-93kg,Adam Jones,1987,92.97,760,5/1/2022,2022 WA State Championships
-57kg,Kezia Duncan,,,322.5,11/8/2019,2019 Classic Nationals,,-105kg,Steven Christensen,1984,101,645,44682,2022 WA State Championships
-63kg,Amelie Labrie,,,402.5,9/20/2020,2020 APU WA States,,-120kg,Russel Pink,1990,118.5,655,5/1/2022,WA State Championships
-69kg,Jazmin Reid,1999,68.4,375,1/5/2022,2022 WA State Championships,,120+kg,Jackson Stubberfield,,,810,3/28/2021,2021 APU WA States
-72kg,Katherine Valle,,,375,11/8/2019,2019 Classic Nationals,,BENCH PRESS (SINGLE LIFT),,,,,,
-76kg,Kristy Ireland,1996,75.8,380,01/05/2022,2022 WA State Championships,,-59kg,APU WA Standard,,,92.5,,
-84kg,Kelly Stoikov,1971,81.3,387.5,11/21/2021,Legendary Lifting Open,,-66kg,APU WA Standard,,,102.5,,
84+kg,Natalie Laalaai,1995,131.7,577.5,5/1/2022,WA State Championships,,-74kg,APU WA Standard,,,110,,
BENCH PRESS (SINGLE LIFT),,,,,,,,-83kg,APU WA Standard,,,120,,
-47kg,APU WA Standard,,,45,,,,-93kg,APU WA Standard,,,127.5,,
-52kg,APU WA Standard,,,47.5,,,,-105kg,APU WA Standard,,,135,,
-57kg,APU WA Standard,,,52.5,,,,-120kg,APU WA Standard,,,140,,
-63kg,APU WA Standard,,,57.5,,,,120+kg,Tamaki Rogers-Pokaihau,1988,128.5,182.5,5/1/2022,WA State Championships
-69kg,APU WA Standard,,,60,,,,,,,,,,
-76kg,Sheydn Rowe,1992,73.8,75,5/1/2022,2022 WA State Championships,,,,,,,,
-84kg,APU WA Standard,,,67.5,,,,,,,,,,
84+kg,APU WA Standard,,,72.5,,,,,,,,,,